Mixture,Macrophages,CD8_T,Malignant,Neutrophils,Acinar,Monocytes,Cycling_T,NK,B,CD4_T,Dendritic,Mast,Plasma,Treg,Stellate,Vascular,CAF,Endothelial,Endocrine,Ductal,Schwann,P-value,Correlation,RMSE
TCGA-IB-7649-01A-11R-2156-07,0.0274615428578496,0.060289973889515,0,0,0.144500145519837,0.019813547664121,0,0,0.0319305074914142,0.00259077039934805,0.00398380987641319,0.00743264689716769,0,0,0,0,0.201280914146991,0.0709929709093858,0.120123651514877,0.30959951883308,0,0,0.766444253860896,0.716933284027018
TCGA-HZ-7925-01A-11R-2156-07,0.0188766815546684,0.149826641337914,0.0556220538251371,0,0,0.00701746891753249,0,0,0.0679564495988431,0,0.0174781093009145,0.0129846564989462,0,0.0168632795753429,0,0,0.517410520741636,0.0617918576698935,0,0.074172280979172,0,0,0.75020047046372,0.681200475936191
TCGA-2L-AAQJ-01A-12R-A39D-07,0.0350212606748519,0.024004788216232,0.388664955720153,0,0,0.0250945876136616,0,0,0.0706902306461016,0,0,0.00251197119349011,0,0.0290998446397713,0.00770978366108442,0,0.150166054133104,0.0870401820554612,0,0.179996341446089,0,0,0.769548574481068,0.708377003727372
TCGA-HZ-A77O-01A-11R-A33R-07,0.0326641546072832,0,0.0867398847973407,0,0.575879481692004,0,0.0173210232998608,0,0.0277790594387634,0,0,0,0,0.00672073069678145,0.0343548774090349,0,0.0940754199468064,0.0499862816750715,0,0.0744790864370538,0,0,0.820976514825391,0.580970847617913
TCGA-IB-7887-01A-11R-2156-07,0.0145850411522279,0.0597650567019217,0.124185671641978,0.0137672035613168,0,0,0,0,0.156361682513781,0,0.0516281945632167,0.0129825210934442,0,0,0.000167907568382869,0,0.324302607739774,0.0546828294056349,0,0.187571284058321,0,0,0.718384951278188,0.71990529653492
TCGA-FB-AAPQ-01A-11R-A41B-07,0.0188904603345929,0.0447177669812904,0.318860299537544,0.00796460172550797,0,0,0,0,0.0245057665122657,0,0.00484784167343377,0.00362999516527047,0,0.0206912674965317,0.0271797961528157,0,0.189554315028836,0.0570115283029711,0.0419049649284043,0.240241396160536,0,0,0.697802200663374,0.747765369044437
TCGA-XD-AAUG-01A-61R-A41B-07,0,0.100399551926602,0,0,0,0.00829398599586029,0,0,0.0734014259570323,0,0.00843033859871935,0.012267108987982,0,0.0204326921264567,0,0,0.480130780486787,0.036997669527865,0.182597442357446,0.0770490040352499,0,0,0.81193861887703,0.600861335823728
TCGA-YY-A8LH-01A-11R-A36G-07,0.00484192808263836,0,0.604053411952532,0,0,0,0,0,0.0242759533863816,0.00194231612276828,0,0.0128810644878786,0,0,0,0,0.0846257630706807,0.06498198250779,0.0454681065368505,0.15692947385248,0,0,0.667536856585975,0.757576821455351
TCGA-US-A77J-01A-11R-A32O-07,0.0454744704970264,0.120975425146887,0,0,0,0,0,0,0.236568475516281,0,0,0.00281173548038454,0,0.0175958335681447,0.0312963894558529,0,0.200429267774586,0.0574676941925941,0.0977619040542486,0.188754556165329,0.000864248148665412,0,0.785720578109985,0.713396025440796
TCGA-3A-A9IB-01A-21R-A39D-07,0.0522327072338167,0.0689845552497855,0.10260772904027,0,0.136032429012024,0,0,0,0.0531610850446581,0,0.0041459573248283,0.0107774846392333,0,0.0433383136337817,0.0282395631763904,0,0.271392483840131,0.112277141921116,0,0.116810549883965,0,0,0.71830259734491,0.73505270320478
