,group,names,scores,logfoldchanges,pvals,pvals_adj
0,Acinar,REG1A,28.294493,10.783341,4.0394189036913814e-176,7.47575256506164e-172
1,Acinar,PRSS1,28.256437,12.157112,1.1863598492328044e-175,1.0977980864875757e-171
2,Acinar,CPB1,28.15752,12.596973,1.9386211606142935e-174,1.1959353939829577e-170
3,Acinar,CLPS,28.007109,12.435289,1.331173641699303e-172,6.15900764673225e-169
4,Acinar,CPA2,27.924656,12.757736,1.339479541416591e-171,4.95794957459937e-168
5,Acinar,CELA3A,27.892296,12.738158,3.308581033021269e-171,1.0205318196354105e-167
6,Acinar,CPA1,27.707506,12.947231,5.669697862305551e-169,1.4989871191098406e-165
7,Acinar,CTRB2,27.58208,11.76375,1.8254692953647852e-167,4.22299503116451e-164
8,Acinar,CEL,27.437414,12.33119,9.818209925117092e-166,2.0189512342682447e-162
9,Acinar,GP2,27.339327,11.942769,1.4464169802502654e-164,2.4335308230446967e-161
10,Acinar,SPINK1,27.298315,6.7592688,4.441516844635105e-164,6.323011711050915e-161
11,Acinar,CTRB1,27.220034,12.7299385,3.762747203433662e-163,4.974083035281913e-160
12,Acinar,CTRC,27.153904,12.648972,2.2770823296041646e-162,2.8094641782656184e-159
13,Acinar,PNLIPRP1,26.534727,12.083002,3.8542478634148776e-155,4.458160325513696e-152
14,Acinar,PNLIP,26.485332,12.824556,1.4302630723543323e-154,1.5570516870624485e-151
15,Acinar,CELA3B,26.42271,13.358809,7.514685873466344e-154,7.726349525568979e-151
16,Acinar,PLA2G1B,25.761887,12.578963,2.3722144262109415e-146,2.1951286192942946e-143
17,Acinar,PRSS3,25.633127,7.3712926,6.520969566943898e-145,5.746837322639558e-142
18,Acinar,SYCN,25.3083,12.101516,2.5882335280221707e-141,2.0826277349176655e-138
19,Acinar,AMY2A,25.3001,12.463842,3.186098405774328e-141,2.4568801331527284e-138
20,Acinar,CELA2A,24.947817,13.127131,2.2550549644688047e-137,1.605165470285545e-134
21,Acinar,KLK1,23.960705,7.6606245,7.146817431836639e-127,4.560901731413816e-124
22,Acinar,CTRL,22.75089,9.423826,1.4061743867470244e-114,7.886081628947631e-112
