"GeneSymbol"	"Steele_PDAC1"	"Steele_PDAC2"	"Steele_PDAC3"	"Steele_PDAC4"	"Steele_PDAC5"	"Steele_PDAC6"	"Steele_PDAC7"	"Steele_PDAC8"	"Steele_PDAC9"	"Steele_PDAC10"	"Steele_PDAC11A"	"Steele_PDAC11B"	"Steele_PDAC12"	"Steele_PDAC13"	"Steele_PDAC15"	"Steele_PDAC16"
"SAMD11"	"2.915586e-01"	"2.535758e+00"	"1.979998e+00"	"1.409285e+01"	"1.563307e+01"	"2.417791e+00"	"1.193132e+01"	"2.229582e+01"	"8.952337e-02"	"4.110791e-01"	"5.197175e+00"	"1.872030e-01"	"1.911017e-01"	"8.319326e-01"	"4.268374e+00"	"3.949624e+00"
"NOC2L"	"5.831172e+01"	"2.343041e+01"	"6.808147e+01"	"4.432098e+01"	"4.315154e+01"	"3.901138e+01"	"3.895029e+01"	"3.801909e+01"	"2.667797e+01"	"3.576388e+01"	"6.276588e+01"	"4.979599e+01"	"4.099131e+01"	"4.801811e+01"	"6.398572e+01"	"4.698690e+01"
"KLHL17"	"6.560069e+00"	"3.550062e+00"	"7.615377e+00"	"4.187005e+00"	"5.675017e+00"	"5.881113e+00"	"3.783103e+00"	"4.793237e+00"	"2.954271e+00"	"5.138488e+00"	"8.395436e+00"	"4.305668e+00"	"5.159745e+00"	"7.383402e+00"	"8.377183e+00"	"5.311563e+00"
"PLEKHN1"	"1.618150e+01"	"6.897262e+00"	"1.127076e+01"	"3.778517e+00"	"1.927364e+00"	"2.378584e+01"	"4.163652e+00"	"5.337923e+00"	"2.775225e+00"	"4.727409e+00"	"1.279305e+01"	"3.931262e+00"	"6.210804e+00"	"3.143145e+01"	"1.671448e+01"	"9.397380e+00"
"PERM1"	"1.895131e+00"	"4.057213e-01"	"3.807689e-01"	"3.063662e-01"	"3.212274e-01"	"6.534570e-01"	"6.715567e-02"	"7.262481e-02"	"0.000000e+00"	"2.055395e-01"	"2.398696e+00"	"1.872030e-01"	"9.555083e-02"	"8.059347e-01"	"2.473264e+00"	"5.447757e-01"
"HES4"	"1.287231e+02"	"8.134712e+01"	"5.978071e+01"	"9.558626e+01"	"7.827240e+01"	"4.809444e+01"	"8.992145e+01"	"5.461386e+01"	"3.903219e+01"	"9.249279e+00"	"6.316566e+01"	"8.948301e+01"	"8.217371e+00"	"3.544293e+02"	"7.439737e+01"	"9.233947e+01"
"ISG15"	"1.056900e+03"	"2.764991e+02"	"2.185613e+02"	"1.944404e+02"	"2.582668e+02"	"1.046185e+02"	"1.560250e+02"	"2.097041e+02"	"2.876386e+02"	"1.956736e+02"	"2.166822e+02"	"3.536264e+02"	"9.488197e+01"	"4.249876e+02"	"3.152613e+02"	"6.373875e+01"
"AGRN"	"1.539430e+02"	"6.816118e+01"	"7.881915e+01"	"9.619900e+01"	"2.709018e+01"	"1.923124e+02"	"1.918414e+01"	"1.873720e+01"	"1.253327e+01"	"1.007144e+01"	"1.235328e+02"	"4.811116e+01"	"9.172880e+00"	"1.271557e+02"	"1.338754e+02"	"4.427664e+02"
"RNF223"	"3.644483e+00"	"1.146163e+01"	"1.149922e+01"	"7.148545e-01"	"2.248592e+00"	"5.881113e-01"	"1.566966e-01"	"1.416184e+00"	"2.238084e+00"	"0.000000e+00"	"3.598044e+00"	"1.684827e+00"	"1.911017e-01"	"1.567673e+01"	"5.106093e+00"	"8.171635e+00"
"C1orf159"	"1.035033e+01"	"4.158644e+00"	"1.203230e+01"	"8.476132e+00"	"4.390108e+00"	"5.162311e+00"	"4.969520e+00"	"5.374236e+00"	"4.565692e+00"	"6.166186e+00"	"1.039435e+01"	"7.300915e+00"	"5.733050e+00"	"7.591385e+00"	"9.374467e+00"	"1.579849e+01"
"TTLL10"	"1.880553e+01"	"1.014303e-01"	"6.625378e+00"	"1.736075e+00"	"1.070758e-01"	"2.091063e+00"	"5.596306e-01"	"7.988729e-01"	"9.847571e-01"	"1.438777e+00"	"7.196088e+00"	"3.744059e+00"	"4.777541e-01"	"1.195903e+00"	"1.077066e+00"	"1.157648e+01"
"TNFRSF18"	"4.708672e+02"	"3.042910e+00"	"1.995229e+01"	"1.245889e+01"	"1.927364e+01"	"1.106303e+02"	"6.567825e+01"	"5.791828e+01"	"7.215584e+01"	"4.377992e+01"	"2.558609e+01"	"8.835980e+01"	"2.551207e+01"	"2.519196e+01"	"2.916058e+01"	"9.397380e+00"
"TNFRSF4"	"3.717372e+01"	"3.347201e+00"	"3.358381e+01"	"2.900267e+01"	"1.391985e+01"	"1.888491e+01"	"8.410129e+01"	"5.247142e+01"	"2.739415e+01"	"3.247525e+01"	"1.958935e+01"	"3.893821e+01"	"2.188114e+01"	"1.580672e+01"	"1.567730e+01"	"2.451490e+00"
"SDF4"	"1.275569e+02"	"9.818456e+01"	"1.405799e+02"	"1.112109e+02"	"1.063263e+02"	"9.128795e+01"	"1.299238e+02"	"1.260040e+02"	"7.376726e+01"	"1.031808e+02"	"1.507181e+02"	"9.360148e+01"	"1.009972e+02"	"1.371909e+02"	"1.323196e+02"	"2.155950e+02"
"B3GALT6"	"3.513281e+01"	"1.460597e+01"	"2.459767e+01"	"2.838994e+01"	"2.634065e+01"	"3.156197e+01"	"1.934083e+01"	"2.694380e+01"	"1.691992e+01"	"1.849856e+01"	"3.278218e+01"	"2.639562e+01"	"3.344279e+01"	"1.882248e+01"	"2.760481e+01"	"3.118841e+01"
"UBE2J2"	"6.122731e+01"	"2.576330e+01"	"6.495917e+01"	"5.473743e+01"	"5.407328e+01"	"4.247471e+01"	"4.011432e+01"	"5.646579e+01"	"6.123399e+01"	"4.994611e+01"	"6.276588e+01"	"6.776747e+01"	"6.210804e+01"	"6.174500e+01"	"7.140551e+01"	"5.665667e+01"
"SCNN1D"	"3.498703e+00"	"1.217164e+00"	"2.056152e+00"	"1.633953e+00"	"1.284910e+00"	"1.306914e+00"	"1.343113e+00"	"2.033495e+00"	"7.161870e-01"	"1.233237e+00"	"2.398696e+00"	"9.360148e-01"	"6.688558e-01"	"3.457720e+00"	"1.994567e+00"	"8.171635e-01"
"ACAP3"	"2.463670e+01"	"7.404414e+00"	"2.269382e+01"	"2.185412e+01"	"1.648967e+01"	"1.614039e+01"	"1.748286e+01"	"1.801095e+01"	"1.495040e+01"	"1.397669e+01"	"2.878435e+01"	"1.984351e+01"	"2.025678e+01"	"2.329411e+01"	"2.772449e+01"	"4.058579e+01"
"PUSL1"	"1.691040e+01"	"1.054875e+01"	"2.535921e+01"	"1.266314e+01"	"1.349155e+01"	"1.300379e+01"	"1.703516e+01"	"1.655846e+01"	"1.235423e+01"	"1.171575e+01"	"2.278761e+01"	"1.385302e+01"	"1.289936e+01"	"2.259217e+01"	"2.684688e+01"	"1.498133e+01"
"CPTP"	"2.784385e+01"	"1.237450e+01"	"3.190843e+01"	"1.695226e+01"	"1.756043e+01"	"1.705523e+01"	"1.656507e+01"	"1.463390e+01"	"1.593516e+01"	"1.336007e+01"	"3.398153e+01"	"1.572505e+01"	"1.318601e+01"	"2.584191e+01"	"2.868188e+01"	"3.949624e+01"
"TAS1R3"	"5.831172e-01"	"3.042910e-01"	"2.284613e-01"	"1.021221e-01"	"0.000000e+00"	"6.534570e-02"	"3.268243e+00"	"2.832368e+00"	"4.476169e-01"	"2.672014e+00"	"7.995654e-01"	"3.744059e-01"	"2.866525e-01"	"5.199579e-01"	"1.954676e+00"	"8.171635e-01"
"DVL1"	"4.490003e+01"	"1.927176e+01"	"4.607303e+01"	"1.685014e+01"	"1.798873e+01"	"5.462901e+01"	"1.497572e+01"	"1.801095e+01"	"1.253327e+01"	"1.212683e+01"	"6.356545e+01"	"2.396198e+01"	"2.149894e+01"	"3.899684e+01"	"5.604734e+01"	"6.564547e+01"
"MXRA8"	"3.352924e+00"	"3.124054e+01"	"1.264153e+01"	"6.617511e+01"	"1.277414e+02"	"1.346121e+01"	"9.965902e+01"	"2.010618e+02"	"4.118075e+00"	"9.043740e+00"	"1.839000e+01"	"2.040512e+01"	"2.866525e-01"	"5.771533e+00"	"8.732216e+01"	"3.649997e+01"
"AURKAIP1"	"2.249375e+02"	"1.324680e+02"	"3.338581e+02"	"1.985253e+02"	"2.094403e+02"	"2.083221e+02"	"2.354478e+02"	"1.955060e+02"	"1.833439e+02"	"1.405890e+02"	"3.210255e+02"	"2.465463e+02"	"1.579455e+02"	"4.848867e+02"	"2.783219e+02"	"2.805595e+02"
"CCNL2"	"9.286142e+01"	"5.020801e+01"	"1.015891e+02"	"7.373214e+01"	"5.385912e+01"	"6.541105e+01"	"6.928227e+01"	"6.256627e+01"	"5.980161e+01"	"1.428500e+02"	"1.059424e+02"	"1.076417e+02"	"7.386079e+01"	"9.364442e+01"	"8.401118e+01"	"1.089551e+02"
"ANKRD65"	"4.081821e+00"	"2.840049e+00"	"1.675383e+00"	"1.348011e+01"	"1.242079e+01"	"2.091063e+00"	"6.693182e+00"	"1.891876e+01"	"6.266636e-01"	"3.083093e+00"	"2.318740e+01"	"5.616089e+00"	"3.822033e-01"	"1.091912e+00"	"2.154133e+01"	"5.447757e+00"
"TMEM88B"	"0.000000e+00"	"2.028607e-01"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"1.872030e-01"	"0.000000e+00"	"0.000000e+00"	"7.978270e-02"	"0.000000e+00"
"VWA1"	"1.227462e+02"	"2.748762e+01"	"9.549683e+01"	"1.356181e+02"	"3.608454e+01"	"6.730607e+01"	"5.345592e+01"	"2.480137e+01"	"1.065328e+01"	"1.644316e+01"	"9.914610e+01"	"2.340037e+01"	"6.688558e-01"	"3.501916e+01"	"7.535476e+01"	"9.724245e+01"
"ATAD3C"	"5.102276e+00"	"2.028607e+00"	"3.655381e+00"	"8.271888e+00"	"5.675017e+00"	"2.679174e+00"	"6.200707e+00"	"3.885427e+00"	"1.253327e+00"	"2.672014e+00"	"9.195002e+00"	"4.118465e+00"	"1.815466e+00"	"3.327731e+00"	"8.736205e+00"	"5.175369e+00"
"ATAD3B"	"2.813541e+01"	"6.288680e+00"	"2.292229e+01"	"1.429709e+01"	"1.295617e+01"	"1.228499e+01"	"8.954090e+00"	"1.212834e+01"	"8.952337e+00"	"1.479885e+01"	"3.118305e+01"	"1.740987e+01"	"1.261271e+01"	"2.586791e+01"	"2.525122e+01"	"3.908765e+01"
"ATAD3A"	"2.142956e+01"	"7.607275e+00"	"2.566382e+01"	"1.102918e+01"	"1.616844e+01"	"1.404933e+01"	"1.676653e+01"	"1.652214e+01"	"1.136947e+01"	"1.151021e+01"	"2.678544e+01"	"1.516344e+01"	"1.538368e+01"	"2.589390e+01"	"2.485231e+01"	"2.982647e+01"
"TMEM240"	"0.000000e+00"	"0.000000e+00"	"0.000000e+00"	"1.021221e-01"	"1.070758e-01"	"0.000000e+00"	"1.343113e-01"	"1.452496e-01"	"8.952337e-02"	"0.000000e+00"	"0.000000e+00"	"1.872030e-01"	"0.000000e+00"	"5.199579e-02"	"7.978270e-02"	"0.000000e+00"
"SSU72"	"2.361625e+02"	"1.143120e+02"	"2.262529e+02"	"1.670717e+02"	"1.717496e+02"	"1.497724e+02"	"1.487050e+02"	"1.647131e+02"	"1.699154e+02"	"1.726532e+02"	"3.066333e+02"	"2.186531e+02"	"1.626275e+02"	"2.586791e+02"	"2.152537e+02"	"2.620371e+02"
"AL645728.1"	"2.332469e+00"	"5.071516e-01"	"5.026149e+00"	"1.940319e+00"	"4.390108e+00"	"2.091063e+00"	"6.558871e+00"	"5.410548e+00"	"3.580935e+00"	"1.356561e+01"	"4.797392e+00"	"4.867277e+00"	"2.962076e+00"	"2.235819e+00"	"3.470547e+00"	"2.179103e+00"
"MIB2"	"4.956497e+01"	"1.866318e+01"	"5.856225e+01"	"3.175997e+01"	"2.987415e+01"	"2.744520e+01"	"2.242999e+01"	"2.763374e+01"	"3.697315e+01"	"2.815892e+01"	"4.317653e+01"	"3.931262e+01"	"3.019406e+01"	"4.471638e+01"	"4.096842e+01"	"6.673502e+01"
"MMP23B"	"9.767214e+00"	"5.203376e+01"	"6.343609e+01"	"2.113927e+01"	"4.475768e+01"	"1.025928e+01"	"1.479663e+01"	"4.844075e+01"	"1.262280e+01"	"9.660358e+00"	"1.479196e+01"	"1.104497e+01"	"3.630931e+00"	"1.034976e+02"	"4.515701e+01"	"1.144029e+02"
"CDK11B"	"3.702794e+01"	"3.103768e+01"	"5.193687e+01"	"3.798941e+01"	"3.512086e+01"	"3.339165e+01"	"3.709232e+01"	"3.032086e+01"	"4.225503e+01"	"5.241258e+01"	"4.557523e+01"	"6.027935e+01"	"3.153177e+01"	"5.415361e+01"	"4.364114e+01"	"5.406898e+01"
"SLC35E2B"	"5.758283e+01"	"1.714173e+01"	"5.178456e+01"	"6.586874e+01"	"3.554916e+01"	"2.796796e+01"	"3.160794e+01"	"4.372013e+01"	"3.795791e+01"	"7.851610e+01"	"6.316566e+01"	"6.233858e+01"	"4.280677e+01"	"3.041754e+01"	"4.938549e+01"	"8.702791e+01"
"CDK11A"	"4.562892e+01"	"3.844210e+01"	"8.293146e+01"	"5.208226e+01"	"6.156858e+01"	"6.018339e+01"	"7.257290e+01"	"6.176740e+01"	"6.938062e+01"	"1.148966e+02"	"4.237696e+01"	"8.293091e+01"	"4.796652e+01"	"6.377284e+01"	"5.927854e+01"	"3.963243e+01"
"NADK"	"9.767214e+01"	"3.296486e+01"	"7.234608e+01"	"5.698412e+01"	"6.917096e+01"	"2.816400e+01"	"3.637599e+01"	"3.605822e+01"	"3.022309e+02"	"7.296654e+01"	"7.915697e+01"	"1.473287e+02"	"9.287541e+01"	"4.172662e+01"	"7.647172e+01"	"1.018730e+02"
